"RelationID","ProductID","ProductID:製品名","MaterialID","MaterialID:MaterialsName","QuantityPerUnit","UnitType"
"PM-7093-964170","7093","ｷｭｳｽｲﾖｳﾌｷﾄﾘｸﾛｽ 3ﾏｲｲﾘX33","964170","PI ｽﾎﾟﾝｼﾞｸﾛｽ ｲｴﾛｰ","99","EA"
"PM-12629-792920","12629","ｴﾝｿ ﾁｴﾂｶｰ           CTNX20","792920","PI ｴﾝｿ ﾁｴﾂｶｰ           CTN","20","EA"
"PM-2885594-964170","2885594","ｷｭｳｽｲﾌｷﾄﾘｸﾛｽ1ﾏｲｲﾘX100","964170","PI ｽﾎﾟﾝｼﾞｸﾛｽ ｲｴﾛｰ","100","EA"
"PM-3141941-3326621","3141941","ﾌﾛｱｰｸﾘｰﾅｰ          2.5LX2","3326621","PI ﾌﾛｱｰｸﾘｰﾅｰ　2.5L","1","EA"
"PM-3142004-3326604","3142004","WMｶﾞﾗｽｸﾘｰﾅｰ        2.5LX2","3326604","PI WMｶﾞﾗｽｸﾘｰﾅｰ　2.5L","1","EA"
"PM-T35600-6040978","T35600","TASKI R1 PLUS 1.5LX2","6040978","PI R1-PLUS PUR-ECO 1.5LX2","1","EA"
"PM-T35620-6040986","T35620","TASKI R3 PLUS 1.5LX2","6040986","PI R3-PLUS PUR-ECO 1.5LX2","1","EA"
"PM-T34985-4486941B","T34985","ｵｷｼｳﾞｨﾙTb 946MLX12","4486941B","PI ｵｷｼｳﾞｨﾙ　946MLx12 (ﾊﾞﾗ)","12","EA"
"PM-4577659-T41303P","4577659","ｱﾜｽﾌﾟﾚｰｾｯﾄ(ﾚﾝｼﾞﾖｳ)12Ｘ1","T41303P","ｽﾌﾟﾚｰﾔｰﾖｳﾎﾞﾄﾙ（12）1PX1","12","CS"
"PM-4577659-T41305P","4577659","ｱﾜｽﾌﾟﾚｰｾｯﾄ(ﾚﾝｼﾞﾖｳ)12Ｘ1","T41305P","ｽﾌﾟﾚｰﾔ用泡ｽﾌﾟﾚ（12）1PX1","12","CS"
"PM-T31100-4486941B","T31100","ｵﾌﾞﾂｼｮﾘｷｯﾄ CTNX1","4486941B","PI ｵｷｼｳﾞｨﾙ　946MLx12 (ﾊﾞﾗ)","1","EA"
"PM-T50970P-6054675","T50970P","ｾｰﾌﾀｯﾁｼﾞｪﾙﾃﾞｨｽﾍﾟﾝｻｰ(10)1PX1","6054675","PI ｾｰﾌﾀｯﾁｼﾞｪﾙﾃﾞｨｽﾍﾟﾝｻｰ(10)1PX1","1","EA"
"PM-5276292-5395048","5276292","ｵｷｼｳﾞｨﾙ ﾌｧｲﾌﾞ 1.5LX2","5395048","PI ｵｷｼｳﾞｨﾙ ﾌｧｲﾌﾞ 1.5LX2","1","EA"
"PM-5327213-3326591","5327213","ｼｸﾞﾆﾁｬｰ 18.9LX1","3326591","PI ｼｸﾞﾆﾁｬｰ　18.9L","1","EA"
"PM-5792051-5816551","5792051","ﾌﾟﾛﾐﾈﾝｽ946MLX6","5816551","PI ﾌﾟﾛﾐﾈﾝｽHDｸﾘｰﾅｰ 946mlx6","1","EA"
