"製品品番","製品名","ProductionLine"
"7093","ｷｭｳｽｲﾖｳﾌｷﾄﾘｸﾛｽ 3ﾏｲｲﾘX33",
"12629","ｴﾝｿ ﾁｴﾂｶｰ           CTNX20",
"2885594","ｷｭｳｽｲﾌｷﾄﾘｸﾛｽ1ﾏｲｲﾘX100",
"3141941","ﾌﾛｱｰｸﾘｰﾅｰ          2.5LX2",
"3142004","WMｶﾞﾗｽｸﾘｰﾅｰ        2.5LX2",
"T35600","TASKI R1 PLUS 1.5LX2","7B"
"T35620","TASKI R3 PLUS 1.5LX2","7B"
"T34985","ｵｷｼｳﾞｨﾙTb 946MLX12",
"4577659","ｱﾜｽﾌﾟﾚｰｾｯﾄ(ﾚﾝｼﾞﾖｳ)12Ｘ1",
"T31100","ｵﾌﾞﾂｼｮﾘｷｯﾄ CTNX1","OFF"
"T50970P","ｾｰﾌﾀｯﾁｼﾞｪﾙﾃﾞｨｽﾍﾟﾝｻｰ(10)1PX1",
"5276292","ｵｷｼｳﾞｨﾙ ﾌｧｲﾌﾞ 1.5LX2",
"5327213","ｼｸﾞﾆﾁｬｰ 18.9LX1",
"5792051","ﾌﾟﾛﾐﾈﾝｽ946MLX6",
"5883084","ｵｷｼｳﾞｨﾙﾌｧｲﾌﾞ  3.78LX2",
"2T35820","ﾀﾞｲﾔﾓﾝﾄﾞ(3GL1) 20L",
"2561577P","ﾚｽﾄﾙｰﾑｸﾘｰﾅｰｽﾏｰﾄﾄﾞｰｽ1.4LX1",
"6026885","ｼﾝ ｵｷｼｳﾞｨﾙTbﾜｲﾌﾟ1X6",
"6027335","ﾀﾞｽｹﾝｽﾎﾟﾝｼﾞｸﾛｽ 1ﾏｲｲﾘx100",
"6035351","ｽﾄｰﾝｷｰﾌﾟ ﾎﾟｰﾗｽﾃｨｰﾋﾟｰ 5Lx2",
"T49900","KFCﾌﾞﾘｰﾁﾖｳｷｼｬｸﾎﾞﾄﾙ 1X6","OFF"
"T31101","ｵﾌﾞﾂｼｮﾘｷｯﾄ2 CTNX1","OFF"
"6044400","ﾃｨｰｴﾑﾂｰﾜｯｸｽ 18.9LX1",
"T45120","PROSｽﾎﾟﾝｼﾞｸﾛｽﾌｧﾐﾘｴ 5PX100",
"6050869","●ｸﾚﾍﾞﾘﾝproｽﾃｨｯｸｸﾝｼﾞｮｳ50ﾎﾝX1",
"T35621","TASKI R1 PLUS 2LX2","JP3"
"T35632","TASKI R3 PLUS 2LX2","JP3"
"4176","ﾋﾟｭｱﾚｯﾄ ﾃﾞｨｽﾍﾟﾝｻｰ   CTNX12",
"26612","ﾌﾛｱﾏｼﾝ SPRINT-2500  CTNX1",
"5046331","WAND MINI   CTNX1",
"5046340","JX-MINI15",
"5373851","ｽﾌﾟﾘﾝﾄ-20ｺﾝﾊﾟｸﾄ　CTNX1",
"421850","ﾌﾟﾛ HDﾄﾞﾗｲﾓｯﾌﾟ40 X10",
"5657589","ｽｳｨﾝｺﾞ350 X1",
"421860","ﾌﾟﾛ HDﾄﾞﾗｲﾓｯﾌﾟ60 X10",
"5632306","ﾊﾟｯﾄﾞ ｺｺ17 X5",
"5632314","ﾊﾟｯﾄﾞ ｺｺ20 X5",
"5720066","ｽｳｨﾝｺﾞ 755 B ECO X1",
"5722580","ｽｳｨﾝｺﾞ 755 B POWER X1",
"5722598","ｽｳｨﾝｺﾞ 855 B POWER X1",
"5722601","ｽｳｨﾝｺﾞ 1255 B POWER X1",
"5722619","ｽｳｨﾝｺﾞ 1650 X1",
"5722627","ｽｳｨﾝｺﾞ 4000 X1",
"5723401","ｱﾌﾞﾚｲｼﾌﾞﾌﾞﾗｼ 17IN X1",
"5723419","ｱﾌﾞﾚｲｼﾌﾞﾌﾞﾗｼ 11IN X1",
"5723427","ｱﾌﾞﾚｲｼﾌﾞﾌﾞﾗｼ 13IN X1",
"5723435","ｱﾌﾞﾚｲｼﾌﾞﾌﾞﾗｼ 17IN 4000 X1",
"5724008","ｱﾌﾞﾚｲｼﾌﾞﾌﾞﾗｼ 20IN X1",
