R5531004,,,,,,,,CxS Corporation,,,,,,,,,25/02/12, 2:52:44
,,,,,,,,充填予定表,,,,,,,,,Page -,1
製造/ 充填,,生産日,ﾜｰｸｾﾝﾀｰ 番号,ﾜｰｸｾﾝﾀｰ名,,,,品番,,品名,,,,生産 予定数,,人員,ｵｰﾀﾞｰ No.,Work Order Status
           F,,25/02/17,      200100,JP#1　5Lプラボトル,,,,T27690,,ﾃﾞﾀｰﾌｧｲﾝｺﾝｸLA 6KGX3,,,,837,,4.0,33575029,20
           F,,25/02/17,      200100,JP#1　5Lプラボトル,,,,T30305,,ｻﾆｯｼｭ　5LX3,,,,1104,,4.0,33575041,20
           F,,25/02/17,      200100,JP#1　5Lプラボトル,,,,T35743,,ｾｰﾌﾀｯﾁﾊﾝﾄﾞｿｰﾌﾟﾌﾟﾗｽF 5LX2,,,,603,,4.0,33575025,20
           F,,25/02/17,      200200,JP#2　18Lペール缶,,,,6043204,,ｾﾝｼﾞｮｳｵｳ ﾌﾟﾗｽC 18LX1,,,,518,,2.0,33575042,20
           F,,25/02/17,      200201,JP#2A 20Lプラボトル,,,,T21611,,ﾃﾞﾀｰﾌｧｲﾝLIQUID MA 25KGX1,,,,320,,2.0,33573029,20
           F,,25/02/17,      200201,JP#2A 20Lプラボトル,,,,T35153,,ｳｲﾙｽｳｫｯｼｭ 20LX1,,,,345,,4.0,33575037,20
           F,,25/02/17,      200201,JP#2A 20Lプラボトル,,,,T40121,,ﾎｼｻﾞｷ JWS-20DHH 20LX1,,,,282,,3.0,33573061,20
           F,,25/02/17,      200201,JP#2A 20Lプラボトル,,,,T47198,,ﾃﾞﾀｰｸﾘｰﾝLAM 25KGX1,,,,480,,3.0,33573025,20
           F,,25/02/17,      200300,JP#3B　小容量プラボトル,,,,16089,,ﾁｭｳｾｲﾄｲﾚｸﾘｰﾅｰ    800MLX12,,,,491,,6.0,33573017,20
           F,,25/02/17,      200400,JP#4　バッグインボックス,,,,3298594,,ADJﾜﾂｸｽ BIB 18LX1,,,,108,,3.0,33575051,20
           F,,25/02/17,      200400,JP#4　バッグインボックス,,,,6068604,,ﾄﾞﾗｲﾜｯｸｽ SSｺｰﾄ 18LX1,,,,430,,3.0,33575050,20
           F,,25/02/17,      200601,F&B 充填#6A　<20L,,,,DS020782,,*ｻﾆﾀｽ ﾊﾟﾜｰﾗｰｼﾞ 24KGX1 PN*,,,,200,,2.0,33575106,20
           F,,25/02/17,      200601,F&B 充填#6A　<20L,,,,2DS020369,,*ｻﾆﾌｫｰﾑ C 20KGX1 PN*,,,,250,,2.0,33575087,20
           F,,25/02/17,      200602,"F&B 充填#6B　DM, C/T",,,,DS020696,,*ﾊﾟﾝｹﾚｰﾄ UD10 1.2TX1 CT ｶｷﾞﾂｷ*,,,,5,,1.0,33575090,20
           F,,25/02/17,      200700,JP#7　大容量プラボトル,,,,T27692,,ﾃﾞﾀｰﾌｧｲﾝｺﾝｸMA 6KGX3,,,,130,,4.0,33579435,40
           F,,25/02/17,      200700,JP#7　大容量プラボトル,,,,T30320,,ｻﾆｯｼｭ　20LX1,,,,250,,3.0,33573063,20
           F,,25/02/17,      200700,JP#7　大容量プラボトル,,,,T31400,,ELW ﾐﾆｵﾌﾞﾂｼｮﾘｼｽﾃﾑｾﾝｻﾞｲ3 10LX1,,,,240,,4.0,33575039,20
           F,,25/02/17,      200700,JP#7　大容量プラボトル,,,,T40111,,ﾎｼｻﾞｷ JWS-10DHH 10LX1,,,,768,,4.0,33573059,20
           F,,25/02/17,      200700,JP#7　大容量プラボトル,,,,T40251,,ｳｨﾝﾀｰAD-10A 10LX1,,,,240,,4.0,33573057,20
           F,,25/02/17,      200700,JP#7　大容量プラボトル,,,,T43583,,ELWｳｨﾙｽｸﾘｰﾝ 20LX1,,,,96,,3.0,33575038,20
           F,,25/02/17,      300200,A03ﾗﾍﾞﾙ貼り,,,,7093,,ｷｭｳｽｲﾖｳﾌｷﾄﾘｸﾛｽ 3ﾏｲｲﾘX33,,,,100,,1.0,33575178,30
           F,,25/02/18,      200100,JP#1　5Lプラボトル,,,,T15030,,ｽｰﾊﾟｰﾃｨｰﾎﾟｰﾙ 5KGX3,,,,1069,,4.0,33575125,20
           F,,25/02/18,      200100,JP#1　5Lプラボトル,,,,T30017,,ｽﾄｱ ｷｯﾁﾝｸﾘｰﾅｰND 5Lx3,,,,150,,4.0,33575121,20
           F,,25/02/18,      200100,JP#1　5Lプラボトル,,,,T30045,,PS ﾁｭｳｾｲｼﾞｮｷﾝｾﾝｻﾞｲND 5Lx3,,,,150,,4.0,33575122,20
           F,,25/02/18,      200100,JP#1　5Lプラボトル,,,,T32655,,ﾌﾟﾛｽﾃｨｰﾌﾟLT2 5KGX3,,,,500,,4.0,33575052,20
           F,,25/02/18,      200100,JP#1　5Lプラボトル,,,,T39818,,ｷｯﾁﾝｸﾘｰﾅｰ 5Lx3,,,,699,,4.0,33575120,20
           F,,25/02/18,      200201,JP#2A 20Lプラボトル,,,,T10520,,ｽｰﾊﾟｰﾃｨｰﾎﾟｰﾙ 20KGX1,,,,448,,2.0,33575126,20
           F,,25/02/18,      200201,JP#2A 20Lプラボトル,,,,T47195,,ﾃﾞﾀｰｸﾘｰﾝLK 24KGX1,,,,320,,3.0,33573031,20
           F,,25/02/18,      200300,JP#3B　小容量プラボトル,,,,16089,,ﾁｭｳｾｲﾄｲﾚｸﾘｰﾅｰ    800MLX12,,,,491,,6.0,33573018,20
           F,,25/02/18,      200400,JP#4　バッグインボックス,,,,6027263,,ﾍﾞｸｽﾀｰ 18LBIB,,,,809,,3.0,33575172,20
           F,,25/02/18,      200601,F&B 充填#6A　<20L,,,,DS020345,,*ﾀﾞｲｷﾚｰﾄ GS 24KGX1 PN*,,,,150,,2.0,33575069,20
           F,,25/02/18,      200601,F&B 充填#6A　<20L,,,,DS020737,,*ﾀﾞｲｷﾚｰﾄ RF1 20KGX1 PN*,,,,200,,2.0,33575099,20
           F,,25/02/18,      200601,F&B 充填#6A　<20L,,,,DS020738,,*ｻﾆﾀｽ ﾏﾙﾁｸﾘｰﾝ 24KGX1 PN*,,,,400,,2.0,33575100,20
           F,,25/02/18,      200602,"F&B 充填#6B　DM, C/T",,,,760040,,PI HDSﾌﾟﾚﾐｯｸｽ (717KG),,,,3585,,1.0,33575094,20
           F,,25/02/18,      200603,F&B 充填#6D　ﾛｰﾘｰ,,,,DS020265,,●*ﾀﾞｲｷﾚｰﾄ GS ﾛｰﾘｰ*,,,,4000,,1.0,33575130,20
           F,,25/02/18,      200700,JP#7　大容量プラボトル,,,,T24968,,●ﾋﾏﾜﾘｾﾝｻﾞｲｾﾝﾖｳﾘﾝｽｻﾞｲ 5KGX3,,,,200,,5.0,33568969,20
           F,,25/02/18,      200700,JP#7　大容量プラボトル,,,,T262410,,ﾄﾞﾗｲｲｯﾄ 5LX2,,,,192,,5.0,33575236,20
           F,,25/02/18,      200700,JP#7　大容量プラボトル,,,,T26243,,ﾄﾞﾗｲｲｯﾄ 10LX1,,,,211,,4.0,33575230,20
           F,,25/02/18,      200700,JP#7　大容量プラボトル,,,,T30320,,ｻﾆｯｼｭ　20LX1,,,,250,,3.0,33573064,20
