R5531004,,,,,,,,CxS Corporation,,,,,,,,,25/02/19, 4:30:13
,,,,,,,,充填予定表,,,,,,,,,Page -,1
製造/ 充填,,生産日,ﾜｰｸｾﾝﾀｰ 番号,ﾜｰｸｾﾝﾀｰ名,,,,品番,,品名,,,,生産 予定数,,人員,ｵｰﾀﾞｰ No.,Work Order Status
           F,,25/02/24,      200100,JP#1　5Lプラボトル,,,,T28710,,ﾃﾞﾀｰﾌｧｲﾝZｺﾝｸ 6KGX3,,,,1785,,4.0,33575147,20
           F,,25/02/24,      200100,JP#1　5Lプラボトル,,,,T35767,,ｾｰﾌﾀｯﾁﾊﾝﾄﾞｿｰﾌﾟﾌﾟﾗｽM 5Lx2,,,,605,,4.0,33575161,20
           F,,25/02/25,      200100,JP#1　5Lプラボトル,,,,T30017,,ｽﾄｱ ｷｯﾁﾝｸﾘｰﾅｰND 5Lx3,,,,300,,4.0,33575143,20
           F,,25/02/25,      200100,JP#1　5Lプラボトル,,,,T30109,,ﾌﾞﾚｰｸｱｯﾌﾟS 5LX3,,,,600,,4.0,33575160,20
           F,,25/02/25,      200100,JP#1　5Lプラボトル,,,,T39818,,ｷｯﾁﾝｸﾘｰﾅｰ 5Lx3,,,,1031,,4.0,33575142,20
           F,,25/02/25,      200100,JP#1　5Lプラボトル,,,,5214921,,ﾆｭｰ ﾊﾞｽ ｼｬｲﾝ 5LX3,,,,654,,4.0,33575128,20
           F,,25/02/25,      200200,JP#2　18Lペール缶,,,,26057,,ﾌﾞﾚｰｸｱﾂﾌﾟ S        18LTX1,,,,741,,2.0,33573077,20
           F,,25/02/25,      200201,JP#2A 20Lプラボトル,,,,DS020417,,ｻﾆﾀｽ ﾏｲﾙﾄﾞﾗｰｼﾞ 20KGX1 PN,,,,1000,,3.0,33575215,20
           F,,25/02/25,      200201,JP#2A 20Lプラボトル,,,,T40121,,ﾎｼｻﾞｷ JWS-20DHH 20LX1,,,,324,,3.0,33573062,20
           F,,25/02/25,      200201,JP#2A 20Lプラボトル,,,,T40252,,ｳｨﾝﾀｰAD-20A 20LX1,,,,512,,2.0,33573058,20
           F,,25/02/25,      200300,JP#3B　小容量プラボトル,,,,T355000,,*ｸﾞﾘﾙ（D9） 2LX6*,,,,208,,4.0,33575239,20
           F,,25/02/25,      200300,JP#3B　小容量プラボトル,,,,6055483,,ｶｰﾍﾟｷｰﾌﾟ ｼﾐｸﾘｱES1 450mlX12,,,,39,,7.0,33579425,20
           F,,25/02/25,      200601,F&B 充填#6A　<20L,,,,DS020710,,*ﾀﾞｲｷﾚｰﾄ GSB(30%) 20KGX1 PN*,,,,125,,2.0,33579420,20
